rid,data
rid-3uaa1g8bb4,2364
rid-9v3tdaqg8t8,2377
rid-4pi2a43tu0g,3396
rid-n1li8pl1e8o,2689
rid-g8rf2cmdbn,2694
rid-fg5tauo1voo,2701
rid-40d2lke2org,2708
rid-9rv8m4d2rng,11947
rid-r9f038k7cp,11947
rid-e8dekenfdm8,8335
rid-tld508ik3qo,2305
rid-c8o51k38v48,4323
rid-7th32sckomo,4326
rid-at700a6ia9o,2325
rid-ekfub1k8ad,2331
rid-nrhu92d20q,2376
rid-eendqp38uoo,5471
rid-vs44vc2fh4g,5174
rid-ruu1rihm05o,8406
rid-0ipc2vb0vr8,8419
rid-oc99l5f7ht8,8422
rid-guqjjbvgp5g,8421
rid-u7rm303cg08,8422
rid-dgtr1ril8d8,8420
rid-r01ocqjg1k8,8423
rid-rrr6tev3lv8,8424
rid-5fenff22iq8,4400
rid-kv47a6d43mo,8424
rid-80sir8r4fh,1389
rid-15i1qulosfo,8429
rid-p4cumsop00g,1392
rid-ad0hrd637u,1417
rid-6000seiko2g,2426
rid-c5phu3a0k2o,14587
rid-931buk1ulko,13826
rid-urtap0p7mt,3121
rid-rf8d8h7jddg,3132
rid-58ljg80mei8,3143
rid-sp2k9lef3mg,3183
rid-nilngjf7gtg,2296
rid-t26jlq7n9a8,2297
rid-pjm909p8q5g,2298
rid-2bk5vska55g,2303
rid-eh8s8vfq4hg,2306
rid-50hdndr2d7g,2307
rid-mikql7r1i7o,2308
rid-6o24fvd9c6o,2313
rid-avuqkn4ip0g,2315
rid-41eqj7rfeto,2317
rid-vkskepm8lm8,2318
rid-lckl6uvdd6,2319
rid-1bbffko51l8,2320
rid-pkelg9p8ijo,2321
rid-ca72hc49cco,2326
rid-m8p16o9iisg,2327
rid-6e5i267ne5g,1499
rid-ncgc4g0fljg,5088
rid-9cq51kmb92,5124
rid-4c9r4l616lg,3132
rid-46senvp4seg,3153
rid-ggikk6khbh8,15399
rid-2hgijkri5c8,15415
rid-t6t9rktrp,15415
rid-2g350c7g8fo,15431
rid-cu25qd5v5v,15438
rid-bkn86km4mao,2442
rid-cj3nklthu1o,2448
rid-ljue40lufho,2449
rid-66ir937t24o,2450
rid-beh6flte8s,2450
rid-d0c309go6fg,2453
rid-9qn2jo8qlk,2455
rid-qvkfcqrkj48,2457
rid-2ius4cjeu1g,2459
rid-aokdm1vsltg,2457
rid-speseustus,2472
rid-sc6q67od8kg,2478
rid-oi17uqfhvp8,2479
rid-sfcaj9hsi68,1603
rid-hqtkdsrm9a8,9696
rid-3nbqor4giuo,9722
rid-g1hnk7hphd8,5718
rid-f4oapiklsgo,5720
rid-74ft461tig8,5722
rid-6oseq6mve48,5726
rid-lbi2pr65a1g,5757
rid-rvr2fmv5gmo,5761
rid-ods8t8r3cbo,3250
rid-7hushhfj0ho,3251
rid-nvqd6n4m16,3253
rid-8gn6n0pfav,3256
rid-mkdlrc2hqc8,3257
rid-qb3l3l2ee4o,3272
rid-vecfnbee2t,3277
rid-n724kl24e2o,3281
rid-k4jiblilkvo,5304
rid-disvho7jf88,5307
rid-rt86dg2dd5,5308
rid-h78ass0gk4g,5320
rid-62m7t7dm0ko,5328
rid-up4ghjq6kt8,2451
rid-s8ecodmjpa,8600
rid-ajp9a2t77qo,10694
rid-4n2bq1g4pa,6695
rid-7cq741m1tlg,6709
rid-hgfh5c5lul,6715
rid-41v284o9fqo,9010
rid-1ufal9nng0g,9045
rid-4i03nqetrl8,9045
rid-2qt2io20hco,3031
rid-1pip5l1oeh,3032
rid-4v32v7moahg,3046
rid-uh56m1b37e8,5069
rid-s5tsiu51ej,5075
rid-onkh9b679eo,5075
rid-m7kv61hbodo,16246
rid-hiijn741qkg,1199
rid-hrscmpms79,1203
rid-ufd327dtehg,2384
rid-clqu1npkqr8,3782
rid-39e93h4rjo,3784
rid-mk2jr2tvhl8,2774
rid-qud0v37vnc,3789
rid-r4sfls4tr9g,2782
rid-f96a4r27kqg,3794
rid-rfabgrhc85o,2782
rid-1dpdgn2b4ko,3796
rid-9qm46nf61hg,2787
rid-theep91idt8,3800
rid-hp4soctqfi,2790
rid-7g5ml68mn7o,3804
rid-b0sgnnd4tf8,3817
rid-oq7v3shbvlg,3818
rid-00roqec531o,3819
rid-ufkvei640gg,14948
rid-k7t8e9om69g,2162
rid-ama5pl5uuq8,2163
rid-0ld97f3cqd8,2163
rid-m4pv6e6om88,2163
rid-pc09762ireg,2164
rid-cik0b7nvf9g,2165
rid-n0r1to63tlg,2165
rid-899q899qgp8,2164
rid-1vf956kg41o,17281
rid-de3ovrv3t3g,7419
rid-mh5ok0km408,8720
rid-27vr2arhpi8,8725
rid-rqhrsna6gc8,8839
rid-981tv48omo,8839
rid-deknh3hr68o,4999
rid-n8blret5b9g,7021
rid-8ppc5ml6h08,2138
rid-1ntghhfgj38,2139
rid-55or3u195,2143
rid-bkp8psrg9s8,2143
rid-k19vce5pmh8,16240
rid-4bfhrlgl0tg,16249
rid-r1dl521mipo,9283
rid-1o5immta4sg,8322
rid-8kmk06il49g,4322
rid-rrq0s8qgpno,9592
rid-1g16hiqmvag,4982
rid-k69g3jkobgo,4983
rid-j08ohts8ijg,4984
rid-g3ped4tpfio,4983
rid-2bt88cufffo,4985
rid-83h2200fjho,4986
rid-75jsv152rp8,4986
rid-gc0f4qm6co,4997
rid-pidu9c90n4,4997
rid-e3leobb1d6,2995
rid-lu47pvb97a8,3006
rid-41eoh1urgho,3006
rid-vrabc1vhvig,2180
rid-4m29t6a85q8,2181
rid-ulju0k4vr4o,2185
rid-0o99hvpee5g,2186
rid-f0ut1gorfig,2212
rid-u4fpd8llgs8,7404
rid-4j32knt5a0o,9964
rid-ik8ebn6biq8,9967
rid-5aq602omci,9985
rid-uairqvt7au,9990
rid-h4kqjal6j28,10007
rid-qtdu5brso2g,3385
rid-uqsnuddslco,3507
rid-5okmpnmeqvo,16657
rid-1d5m1q0e9q,2577
rid-9ej4a0o5u6o,1614
rid-dts7d2jilbo,6656
rid-345jtisga1o,1658
rid-i13o4gkrkbg,5398
rid-q34o86vbu9,7566
rid-i7qjgkjc4so,2551
rid-1p781tde2u,2561
rid-vveaq8d51fg,5591
rid-8do20mik4j,5592
rid-foutgiikpg8,5597
rid-6aofgu6fir8,5598
rid-cobkarlaeco,5600
rid-oegrg80n83,5616
rid-r1dkstqe3oo,5620
rid-d58oqabnkgo,9670
rid-u543s2j9km8,16725
rid-j3u2u8sgod8,16729
rid-ap2drvpk1vo,16782
rid-5h348bmtp5o,16782
rid-isff0bo2lto,16787
rid-cvnjn53jg58,8744
rid-t6l389kp358,8745
rid-s4rnicik1gg,8747
rid-l3vqqjardc8,8748
rid-p79hgulrnao,8751
rid-ch71fthker,8754
rid-i6rnea43bb8,8754
rid-suqf4kqr9go,1727
rid-df6omv7md98,5412
rid-is80kkh9nk8,5475
rid-sk5om2g4lm,3568
rid-59cg57gd7d,17701
rid-15p1sl4u41,17714
rid-jdud5dsifp,17726
rid-uoojjem4d1o,17732
rid-djfvpnf8gi,2773
rid-pkf9je2804,2787
rid-0dsdj1bineg,2788
rid-psqic0l609o,2794
rid-dpc7n6r5s58,2801
rid-8duhmiantbg,13157
rid-n0b162un4jo,6126
rid-vo24fpktn68,9342
rid-g6or2odgnio,4456
rid-5aus107hdu,3744
rid-e0ofs29q0vg,3751
rid-12mvdq2i3so,3764
rid-djkesj8h79g,3787
rid-t624in8qnag,8818
rid-daipj1fv4gg,8829
rid-scfnest5o68,8829
rid-smbticd69b,8830
rid-jvtec7cv55g,8834
rid-icbor0cftio,8835
rid-b1h7jakssv,8849
rid-q5nf0o6gku8,8855
rid-4eos1eudnog,8858
rid-3c14c9v9s9o,2823
rid-hehkl2lt0pg,8861
rid-3bqroc74eh8,3836
rid-ccjlboiuvj,9921
rid-hf93efk808o,9934
rid-51hcii1680o,4906
rid-22bu7f3oqe8,9934
rid-0r8lfh7mp1o,9938
rid-bq4hi4ta34o,2904
rid-f0a25cs8b7,3058
rid-srkcmtkbmi8,6091
rid-njju98k8eeg,6129
rid-v2tlh4csd58,11621
rid-oislappqr1g,4587
rid-m6gg3l3eaug,5725
rid-aj2m98b8jcg,3830
rid-s3br68ihar8,3835
rid-br86mqjlff,3836
rid-aojdg7a01q,3836
rid-sl58ggae7dg,3841
rid-nn67ms52gn,3862
rid-52hghlfifd,8956
rid-m2dhjv7p81,1899
rid-qqr30veeh68,3976
rid-gie13aejup8,11308
rid-tgs8euf2apo,9725
rid-0qnv3of8cq8,7732
rid-v26v2rc9gt,8864
rid-16qhkiqb188,8870
rid-ken5u3v2m18,8871
rid-ojj7mlghfl8,8871
rid-tjbo480a1j8,8870
rid-qieng4p8uao,8872
rid-fvqb31kiol,1823
rid-is8lacdgvr8,1822
rid-sq56cqjnuv8,1822
rid-uct87d6bp88,3842
rid-qbj6k3bki08,8898
rid-3q00stk6hg8,1849
rid-sqhf0sffku8,2994
rid-i9t234h0i6o,4104
rid-0coiei3r5p8,21276
rid-89l9ntmibp8,9465
rid-o4v3hat881,9492
rid-f9s21vl29tg,7481
rid-te22k0mkb1g,8821
rid-2l4er2k8c58,8824
rid-arj5u1innsg,8828
rid-3otvcin008g,8830
rid-pqjo9rovqg8,8845
rid-ilt939itup,8849
rid-42l94cq6sd8,8859
rid-hons4pljq8o,1815
rid-b8rum12lrdo,2878
rid-8g1rjql6bi,10086
rid-9q12nd6lqrg,10104
rid-d8u3p2jkcjg,10117
rid-4bije9b7sl8,10126
rid-b8121k8ua9,9320
rid-3lc13o77f4g,9324
rid-t6sri4f7vfg,9355
rid-k1a6v6hjcgg,22483
rid-58m9jfvpnao,4472
rid-5fmknso8m1,11531
rid-mb386k4aos8,4486
rid-sc2529rv49g,1653
rid-4e0qsj2v348,5675
rid-u32qucnu25,5681
rid-estsuqg98o,2720
rid-fk7d4j7lr48,2729
rid-fkgkgre9jfg,2741
rid-pscp12rnnto,2749
rid-fqiutdlj5u,2782
rid-piqgrhgm6po,2845
rid-5lajpeqo1,3882
rid-o3a985ovl4,5925
rid-2oo0l1aj58o,4070
rid-5agm789ljsg,6085
rid-46829ns7gf8,5403
rid-4v2vqfo3ed8,5410
rid-dofscfgmbbg,5446
rid-ue4v9e0os5,9689
rid-pvm90kd1bto,2715
rid-hrjkulkkpk8,2727
rid-5stskkcja3g,1765
rid-6otgvtrdm6g,2819
rid-1r055d5p0bg,2821
rid-c4bsg7uq9v8,2828
rid-gg2b6dcefg,2829
rid-e4ak527507,7988
rid-31jr7592klg,13353
rid-91jtr0t2ff,15383
rid-5e4k3ejnpkg,4316
rid-nv4uondn6a,5330
rid-bi4rsh02h4g,5330
rid-ltmshteu808,5334
rid-q1cm6aomr48,7352
rid-0gobq0ller8,7370
rid-lvmv10u14b8,11685
rid-oe4e1kbf4ag,5732
rid-tkjfhdeg3og,5734
rid-1o8205sun3o,9785
rid-o4pkcq8862,2801
rid-6ma7ejl4ako,2805
rid-7o9l7gohc2g,2806
rid-argpi21ag2,2808
rid-or0if026k7g,2809
rid-fvsbqo96eno,2812
rid-566b02utr3,4839
rid-a9th63psud8,4840
rid-ab3q9sh4n7g,4849
rid-oon9ru9m2v8,4850
rid-jkhfq14lal8,4852
rid-8vtmfck154o,2858
rid-jr8ivvv7euo,4869
rid-a9af770rgd8,2863
rid-rsps4tlcoco,4081
rid-osm9e4mk4eg,10311
rid-segs2h4k3o8,3526
rid-pdv7kdbclf8,8581
rid-h6u0sobfhuo,1545
rid-3j2k8olgkto,1557
rid-t8tk51gtbm,2569
rid-1uv3btu9ub,2588
rid-0bmjc8l19hg,13860
rid-7fngesbnpcg,13877
rid-khi7ih2e7h,7927
rid-6dr06h1u9uo,4084
rid-9crth3ajlsg,4102
rid-5rhjv0enh5g,4121
rid-t8isivc6aig,5342
rid-2v1ueav9an,16630
rid-2oijejt0nbo,4650
rid-gm1ela2589o,4661
rid-enejv2jnbeo,2649
rid-v6fo3hoov38,15815
rid-hsi6r3u8ua,2752
rid-ed26hu1gkv,2755
rid-qg1b29foba,2758
rid-2e0si748hio,2758
rid-alvnc0ee2s,2762
rid-0b5db2kjji,2782
rid-bjn25611hqo,6852
rid-c94h0qm0pa8,6882
rid-2mst1a77i2o,6930
rid-ms1edgp3pbo,9155
rid-vgghrkrip7,9163
rid-qj2ipldt61o,9163
rid-6fjlpfsb0h,9177
rid-k79psmiadlo,10464
rid-gbj2hm9rjoo,2513
rid-dfsceaaqhao,2560
rid-h0ee6mifb8,5584
rid-2qs4g267il,13841
rid-bvqs85kjg5g,13868
rid-bn4fpcnmaa8,14253
rid-pfvbil8kdgo,9311
rid-ts6mdtlh8ho,8383
rid-783t31im5ko,8398
rid-jq77ogqi748,5395
rid-uretqqlujso,5407
rid-3or7k3saf8g,2420
rid-a5rrda2bnag,2427
rid-ctd2mhhn14,2428
rid-cndm6bmr8v,2435
rid-leek23db0ig,2434
rid-lo3oeotqjjg,2439
rid-bir640n4obo,2452
rid-029sqdtv638,2547
rid-jkhe1jtnjsg,4586
rid-b9f4v91dkvg,2576
rid-a2990klqv8,1632
rid-4o7svii95co,6683
rid-j0kqgbohb8g,5796
rid-2vvm5v3m93,5810
rid-njv7u53oq5g,3796
rid-0af7sm6vqk,11170
rid-0jehk7m38l8,11172
rid-228gf1nmvk,5423
rid-jkvvg6pd8b8,5456
rid-n0up4okk55o,9493
rid-8pn55nj2jig,9508
rid-5vbgilkqspg,3499
rid-s4ooe8otirg,3504
rid-ts9f6ajchj8,3513
rid-7icbsuce6l8,2553
rid-fenc92les58,2580
rid-09gha8a3gc,2580
rid-lpc27d5193o,2597
rid-ksqtkv719o,15715
rid-8rjbsam0a4g,3671
rid-sujhhkjgqi8,2670
rid-i7t3imfsgp8,3684
rid-p2tbfdbocug,5804
rid-lenunp08rq8,13231
rid-kdgkptt76p8,13234
rid-bdk4ie381mo,13235
rid-l5n0esu7u1o,13330
rid-ni7tm2lk3dg,13365
rid-61tomgl7k5o,13394
rid-pogvgbbnd5,9559
rid-rt1udgkhvd,9570
rid-h3jpio0nerg,2591
rid-v8hh90s757,7744
rid-sm9l1fcmc88,10763
rid-pj65ha535h8,10765
rid-2f5pr70p23o,10790
rid-opbesj5aao,10805
rid-ovisipknno8,4502
rid-ootmrncg7j8,4525
rid-t92gdv66hco,2563
rid-aifvk93np48,3613
rid-vdmtirn7j8,6824
rid-icmo6f7gp8g,4836
rid-sobm884d4to,4836
rid-2c4sjdd33qo,3914
rid-fmpta613re8,6938
rid-c2u4vqg5rg8,6972
rid-d0balv5rcvg,6997
rid-7jeepc88otg,4163
rid-cgaced6qtr,18260
rid-cej00viqh38,4320
rid-67e6839olu,3444
rid-e4cpa99od7g,10556
rid-tdru3gab1b8,10578
rid-5vmkova724,2636
rid-1lija2d8kp8,2641
rid-g9dq5jbvg3g,2696
rid-8e7pudutan,5978
rid-3nq6fd26738,5983
rid-sem4jm81h1g,7751
rid-bd53s231vb,5792
rid-qaiig61ipsg,3914
rid-gn1avrkphe8,3949
rid-vt2p6av0k8g,5061
rid-tu2dfb81qpg,4072
rid-tiamm8t9om,9507
rid-0g7jnmrjr08,6522
rid-kn8vue1bm88,16736
rid-udo91u5ufvo,11947
rid-28kcksh92p,8050
rid-9snf12b79lg,10065
rid-haldbh57u9,17112
rid-sq43qqckhg,17132
rid-auobi61okc8,4204
rid-9kn4vgl4aa,21424
rid-tonpbr2k588,4483
rid-8mvcmf73b5g,8920
rid-oocdbf4r5vg,10973
rid-ao3an5h5qog,10976
rid-l1m1bosla5o,3948
rid-sab09hfimvg,3141
rid-682cog3fsgg,3159
rid-srv72tbq86,3176
rid-8gnnrn89g7,3191
rid-7i1gopr9d1o,3464
rid-rd5r5ld5cgg,2517
rid-mi4089p27io,22729
rid-a14t18edgc,22752
rid-b1ajeflljd8,4805
rid-rgpnf9rqe38,19215
rid-326ub2ihivo,3187
rid-amv0sg67i78,3235
rid-jggfb7j1t8,8300
rid-m099io494oo,6285
rid-6dddp7cu77,6306
rid-rc070h9kun,6340
rid-flojdhrme7g,8356
rid-hlvgpjnpt2g,4339
rid-o38g52rlsf8,4339
rid-5q3pk07aep,4343
rid-o52cofntc8o,4344
rid-ev6ujd32bno,8363
rid-jgqlrc5trig,4356
